Palabra,Sufijo_original,R,Sufijo_nuevo,Número
fumas,-,-,ma,plural
fumas,-,-,ma,plural
fumas,-,-,ma,plural
gamas,-,-,ma,plural
gastadísimas,-,-,ma,plural
generosísimas,-,-,ma,plural
gordísimas,-,-,ma,plural
gravísimas,-,-,ma,plural
greimas,-,-,ma,plural
guapísimas,-,-,ma,plural
habermas,-,-,ma,plural
hacendosísimas,-,-,ma,plural
hamas,-,-,ma,plural
hidrogramas,-,-,ma,plural
histogramas,-,-,ma,plural
hologramas,-,-,ma,plural
homónimas,-,-,ma,plural
honestísimas,-,-,ma,plural
horterísimas,-,-,ma,plural
ideogramas,-,-,ma,plural
ilegítimas,-,-,ma,plural
importantísimas,-,-,ma,plural
informas,-,-,ma,plural
intensísimas,-,-,ma,plural
interesantisimas,-,-,ma,plural
intrincadísimas,-,-,ma,plural
isotermas,-,-,ma,plural
isotermas,-,-,ma,plural
iágrimas,-,-,ma,plural
jaimas,-,-,ma,plural
jamas,-,-,ma,plural
jamas,-,-,ma,plural
jamas,-,-,ma,plural
jovencísimas,-,-,ma,plural
laboriosísimas,-,-,ma,plural
lamas,-,-,ma,plural
lamas,-,-,ma,plural
lanzallamas,-,-,ma,plural
larguísimas,-,-,ma,plural
legítimas,-,-,ma,plural
legítimas,-,-,ma,plural
lejanísimas,-,-,ma,plural
lejanísimas,-,-,ma,plural
lexigramas,-,-,ma,plural
lexigramas,-,-,ma,plural
lexigramas,-,-,ma,plural
libérrimas,-,-,ma,plural
limas,-,-,ma,plural
limpísimas,-,-,ma,plural
lisozimas,-,-,ma,plural
llamas,-,-,ma,plural
llamas,-,-,ma,plural
llamas,-,-,ma,plural
lágrimas,-,-,ma,plural
lágrimas,-,-,ma,plural
madamas,-,-,ma,plural
magnánimas,-,-,ma,plural
mamas,-,-,ma,plural
marismas,-,-,ma,plural
marítimas,-,-,ma,plural
mas,-,-,ma,plural
melodramas,-,-,ma,plural
miasmas,-,-,ma,plural
micoplasmas,-,-,ma,plural
microclimas,-,-,ma,plural
millonésimas,-,-,ma,plural
millonésimas,-,-,ma,plural
milmillonésimas,-,-,ma,plural
milésimas,-,-,ma,plural
mismísimas,-,-,ma,plural
moctezumas,-,-,ma,plural
monísimas,-,-,ma,plural
monógamas,-,-,ma,plural
mucamas,-,-,ma,plural
muchísimas,-,-,ma,plural
máximas,-,-,ma,plural
máximas,-,-,ma,plural
mínimas,-,-,ma,plural
mínimas,-,-,ma,plural
nobilísimas,-,-,ma,plural
normas,-,-,ma,plural
normas,-,-,ma,plural
normas,-,-,ma,plural
novísimas,-,-,ma,plural
novísimas,-,-,ma,plural
numerosísimas,-,-,ma,plural
numerosísimas,-,-,ma,plural
nutridísimas,-,-,ma,plural
organigramas,-,-,ma,plural
orgullosísimas,-,-,ma,plural
palmas,-,-,ma,plural
palmas,-,-,ma,plural
palmas,-,-,ma,plural
panoramas,-,-,ma,plural
paradigmas,-,-,ma,plural
pentagramas,-,-,ma,plural
penúltimas,-,-,ma,plural
pequeñísimas,-,-,ma,plural
pequeñísimas,-,-,ma,plural
pijamas,-,-,ma,plural
plasmas,-,-,ma,plural
plasmas,-,-,ma,plural
plataformas,-,-,ma,plural
plumas,-,-,ma,plural
plumas,-,-,ma,plural
poderosísimas,-,-,ma,plural
poquísimas,-,-,ma,plural
primas,-,-,ma,plural
primas,-,-,ma,plural
primas,-,-,ma,plural
primerisimas,-,-,ma,plural
principalísimas,-,-,ma,plural
principalísimas,-,-,ma,plural
prismas,-,-,ma,plural
privadísimas,-,-,ma,plural
proclamas,-,-,ma,plural
proclamas,-,-,ma,plural
proenzimas,-,-,ma,plural
programas,-,-,ma,plural
programas,-,-,ma,plural
programas,-,-,ma,plural
próximas,-,-,ma,plural
pumas,-,-,ma,plural
purísimas,-,-,ma,plural
pésimas,-,-,ma,plural
pócimas,-,-,ma,plural
póstumas,-,-,ma,plural
ramas,-,-,ma,plural
rapidísimas,-,-,ma,plural
rarísimas,-,-,ma,plural
recientísimas,-,-,ma,plural
reclamas,-,-,ma,plural
refinadísimas,-,-,ma,plural
reformas,-,-,ma,plural
retamas,-,-,ma,plural
reumas,-,-,ma,plural
rimas,-,-,ma,plural
rimas,-,-,ma,plural
riquísimas,-,-,ma,plural
sapientísimas,-,-,ma,plural
severísimas,-,-,ma,plural
simas,-,-,ma,plural
singularísimas,-,-,ma,plural
siniestrísimas,-,-,ma,plural
sinónimas,-,-,ma,plural
sofismas,-,-,ma,plural
sofismas,-,-,ma,plural
sofisticadísimas,-,-,ma,plural
soflamas,-,-,ma,plural
soflamas,-,-,ma,plural
sorprendidísimas,-,-,ma,plural
subprogramas,-,-,ma,plural
sumas,-,-,ma,plural
sumas,-,-,ma,plural
sumas,-,-,ma,plural
sumas,-,-,ma,plural
sutilísimas,-,-,ma,plural
séptimas,-,-,ma,plural
tantísimas,-,-,ma,plural
tantísimas,-,-,ma,plural
tantísimas,-,-,ma,plural
tarimas,-,-,ma,plural
telegramas,-,-,ma,plural
termas,-,-,ma,plural
tramas,-,-,ma,plural
trasformas,-,-,ma,plural
traumas,-,-,ma,plural
trigramas,-,-,ma,plural
trillonésimas,-,-,ma,plural
tristísimas,-,-,ma,plural
ubérrimas,-,-,ma,plural
ultimas,-,-,ma,plural
valiosísimas,-,-,ma,plural
variadísimas,-,-,ma,plural
velocísimas,-,-,ma,plural
ventajosísimas,-,-,ma,plural
verdísimas,-,-,ma,plural
victimas,-,-,ma,plural
viejísimas,-,-,ma,plural
violentisimas,-,-,ma,plural
vivísimas,-,-,ma,plural
víctimas,-,-,ma,plural
yermas,-,-,ma,plural
yermas,-,-,ma,plural
yormas,-,-,ma,plural
ánimas,-,-,ma,plural
ínfimas,-,-,ma,plural
íntimas,-,-,ma,plural
óptimas,-,-,ma,plural
úitimas,-,-,ma,plural
últimas,-,-,ma,plural
alud,-,-,ud,singular
arnaud,-,-,ud,singular
artaud,-,-,ud,singular
beamud,-,-,ud,singular
calatayud,-,-,ud,singular
cloud,-,-,ud,singular
erfoud,-,-,ud,singular
fraud,-,-,ud,singular
freud,-,-,ud,singular
guiraud,-,-,ud,singular
insalud,-,-,ud,singular
kimbaud,-,-,ud,singular
larbaud,-,-,ud,singular
likud,-,-,ud,singular
mud,-,-,ud,singular
pnud,-,-,ud,singular
proud,-,-,ud,singular
rimbaud,-,-,ud,singular
ruud,-,-,ud,singular
saiud,-,-,ud,singular
salud,-,-,ud,singular
salud,-,-,ud,singular
scud,-,-,ud,singular
talmud,-,-,ud,singular
talud,-,-,ud,singular
ud,-,-,ud,singular
aludes,-,-,ud,plural
ayudes,-,-,ud,plural
desnudes,-,-,ud,plural
dudes,-,-,ud,plural
fraudes,-,-,ud,plural
laudes,-,-,ud,plural
maudes,-,-,ud,plural
mudes,-,-,ud,plural
taludes,-,-,ud,plural
