singular ; sca ; busca
singular ; sca ; frasca
singular ; sca ; fresca
singular ; sca ; fusca
singular ; sca ; gresca
singular ; sca ; hojarasca
singular ; sca ; lasca
singular ; sca ; levantisca
singular ; sca ; mosca
singular ; sca ; muesca
singular ; sca ; nevisca
singular ; sca ; odalisca
singular ; sca ; pelandusca
singular ; sca ; pesca
singular ; sca ; picaresca
singular ; sca ; rebusca
singular ; sca ; repesca
singular ; sca ; rosca
singular ; sca ; rufianesca
singular ; sca ; sobrepesca
singular ; sca ; soldadesca
singular ; sca ; tarasca
singular ; sca ; tasca
singular ; sca ; torvisca
singular ; sca ; tosca
singular ; sca ; vasca
singular ; sca ; ventisca
singular ; sca ; ventresca
singular ; sca ; yesca
plural ; sca ; 
plural ; sca ; canallescas
plural ; sca ; carrascas
plural ; sca ; foscas
plural ; sca ; matamoscas
plural ; sca ; rascas
plural ; sca ; riscas
singular ; edo ; 
singular ; edo ; bledo
singular ; edo ; bípedo
singular ; edo ; credo
singular ; edo ; cuadrúpedo
singular ; edo ; dedo
singular ; edo ; denuedo
singular ; edo ; enredo
singular ; edo ; miedo
singular ; edo ; paralelepípedo
singular ; edo ; pedo
singular ; edo ; penedo
singular ; edo ; remedo
singular ; edo ; ruedo
singular ; edo ; torpedo
singular ; edo ; viñedo
plural ; edo ; 
plural ; edo ; hayedos
plural ; edo ; seisdedos
plural ; ía ; 
plural ; ía ; abadías
plural ; ía ; agonías
plural ; ía ; alcaldías
plural ; ía ; alegorías
plural ; ía ; alegrías
plural ; ía ; algarabías
plural ; ía ; anomalías
plural ; ía ; apoplejías
plural ; ía ; aporías
plural ; ía ; armonías
plural ; ía ; arpías
plural ; ía ; artesanías
plural ; ía ; asesorías
plural ; ía ; auditorías
plural ; ía ; autovías
plural ; ía ; avemarías
plural ; ía ; bahías
plural ; ía ; bujías
plural ; ía ; burguesías
plural ; ía ; capitanías
plural ; ía ; categorías
plural ; ía ; celosías
plural ; ía ; cercanías
